food_id,food_name,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,water_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,calorie_density,protein_ratio,carb_ratio,fat_ratio,high_protein,low_carb,high_fiber,low_fat,high_sodium,text,meal_type,cuisine,protein_density,fat_density,carb_density,energy_density,is_vegan,is_vegetarian,is_halal,search_text
169831,"APPLEBEE'S, 9 oz house sirloin steak",Restaurant Foods,157.0,791.0,26.85,0.0,9.08,0.0,0.0,61.88,79.0,604.0,350.0,16.0,2.07,24.0,202.0,5.35,7.0,0.0,0.0,2.0,5.038,0.0339,0.0,0.0115,1,1,0,0,1,"APPLEBEE'S, 9 oz house sirloin steak Restaurant Foods",Breakfast,Unknown,0.1710191082802548,0.0578343949044586,0.0,22.01502922349012,False,False,False,"APPLEBEE'S, 9 oz house sirloin steak Restaurant Foods Unknown"
169008,"APPLEBEE'S, Double Crunch Shrimp",Restaurant Foods,206.0,1352.0,12.31,25.96,18.9,2.6,1.07,40.12,86.0,838.0,97.0,45.0,1.03,23.0,271.0,0.78,2.0,0.0,0.0,0.43,6.563,0.0091,0.0192,0.014,0,0,0,0,1,"APPLEBEE'S, Double Crunch Shrimp Restaurant Foods",Snack,Unknown,0.05975728155339806,0.09174757281553397,0.12601941747572815,23.648766835753015,False,False,False,"APPLEBEE'S, Double Crunch Shrimp Restaurant Foods Unknown"
169010,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",Restaurant Foods,180.0,600.0,5.01,21.08,4.34,1.3,3.7,68.28,7.0,288.0,163.0,79.0,0.84,22.0,104.0,0.57,18.0,0.0,0.0,0.24,3.333,0.0084,0.0351,0.0072,0,0,0,1,0,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu Restaurant Foods",Breakfast,Unknown,0.02783333333333333,0.02411111111111111,0.1171111111111111,19.71738416036806,False,False,False,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu Restaurant Foods Unknown"
169841,"APPLEBEE'S, chicken tenders platter",Restaurant Foods,209.0,297.0,19.62,17.98,16.24,1.0,0.36,43.38,52.0,740.0,336.0,23.0,0.9,30.0,298.0,0.71,9.0,0.0,0.0,0.14,1.421,0.0661,0.0605,0.0547,0,0,0,0,1,"APPLEBEE'S, chicken tenders platter Restaurant Foods",Snack,Unknown,0.0938755980861244,0.07770334928229665,0.08602870813397129,5.516344725111441,False,False,False,"APPLEBEE'S, chicken tenders platter Restaurant Foods Unknown"
169012,"APPLEBEE'S, chicken tenders, from kids' menu",Restaurant Foods,99.0,1238.0,19.25,18.36,16.15,1.2,0.39,43.42,51.0,763.0,337.0,23.0,0.9,30.0,305.0,0.71,10.0,0.0,0.0,0.15,12.505,0.0155,0.0148,0.013,0,0,0,0,1,"APPLEBEE'S, chicken tenders, from kids' menu Restaurant Foods",Snack,Unknown,0.19444444444444445,0.16313131313131313,0.18545454545454546,23.02827380952381,False,False,False,"APPLEBEE'S, chicken tenders, from kids' menu Restaurant Foods Unknown"
169018,"APPLEBEE'S, chili",Restaurant Foods,182.0,157.0,12.56,4.57,9.79,1.4,2.27,71.31,45.0,381.0,320.0,34.0,1.46,18.0,104.0,2.23,149.0,1.1,0.0,1.26,0.863,0.08,0.0291,0.0624,0,1,0,0,0,"APPLEBEE'S, chili Restaurant Foods",Snack,Unknown,0.06901098901098901,0.053791208791208786,0.02510989010989011,5.832095096582466,False,False,False,"APPLEBEE'S, chili Restaurant Foods Unknown"
169020,"APPLEBEE'S, coleslaw",Restaurant Foods,76.0,120.0,0.79,13.17,7.09,2.8,9.33,78.15,2.0,178.0,156.0,36.0,0.26,10.0,23.0,0.19,77.0,13.7,0.0,0.0,1.579,0.0066,0.1098,0.0591,0,1,0,0,0,"APPLEBEE'S, coleslaw Restaurant Foods",Snack,Unknown,0.010394736842105264,0.09328947368421052,0.17328947368421052,5.700712589073634,False,False,False,"APPLEBEE'S, coleslaw Restaurant Foods Unknown"
169840,"APPLEBEE'S, crunchy onion rings",Restaurant Foods,350.0,1487.0,4.58,40.17,19.61,3.1,4.48,33.09,0.0,833.0,135.0,22.0,0.67,17.0,90.0,0.43,0.0,0.0,0.0,0.0,4.249,0.0031,0.027,0.0132,0,0,0,0,1,"APPLEBEE'S, crunchy onion rings Restaurant Foods",Snack,Unknown,0.013085714285714286,0.05602857142857143,0.11477142857142858,23.10441267868241,False,False,False,"APPLEBEE'S, crunchy onion rings Restaurant Foods Unknown"
169017,"APPLEBEE'S, fish, hand battered",Restaurant Foods,250.0,844.0,13.23,16.65,9.14,0.9,0.51,58.82,34.0,607.0,241.0,13.0,0.35,20.0,234.0,0.34,3.0,0.0,0.0,1.23,3.376,0.0157,0.0197,0.0108,0,0,0,0,1,"APPLEBEE'S, fish, hand battered Restaurant Foods",Snack,Unknown,0.05292,0.03656,0.06659999999999999,21.629933367503845,False,False,False,"APPLEBEE'S, fish, hand battered Restaurant Foods Unknown"
169009,"APPLEBEE'S, french fries",Restaurant Foods,164.0,290.0,3.31,39.5,13.17,3.9,0.0,41.29,1.0,618.0,538.0,19.0,1.01,29.0,137.0,0.49,0.0,0.7,0.0,0.0,1.768,0.0114,0.1362,0.0454,0,0,0,0,1,"APPLEBEE'S, french fries Restaurant Foods",Snack,Unknown,0.020182926829268293,0.08030487804878049,0.24085365853658536,5.180421579135405,False,False,False,"APPLEBEE'S, french fries Restaurant Foods Unknown"
